company_id,tsx_code,company_name,name_alt,status,headquarters,minerals_of_interest,percent_gold,percent_silver,description,last_updated
102,DNG.TO,DYNACOR GROUP INC.,,producer,"Montreal, Canada",gold,100.0,0.0,"Industrial ore processing company producing gold from artisanal miners in Peru, with plans for expansion in West Africa and Latin America.",2025-03-22 00:00:00+0000
103,DEX.V,ALMADEX MINERALS,,explorer,"Vancouver, Canada","gold, silver",60.0,40.0,"Exploration company focused on gold and silver projects in Canada, USA, and Mexico.",2025-03-23 00:40:00+0000
104,DRY.V,DRYDEN GOLD CORP.,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Exploration company focused on high-grade gold mineralization in the Dryden District of Northwestern Ontario, with a large land package along the Manitou-Dinorwic deformation zone.",2025-03-22 00:00:00+0000
105,DEF.V,DEFIANCE SILVER,,explorer,"Vancouver, Canada","silver, gold, copper",92.3,7.7,"Silver and gold exploration company with projects in Mexico, including the Zacatecas Silver Project and the Tepal Gold-Copper Project.",2025-03-23 00:36:00+0000
106,DV.V,DOLLY VARDEN SILVER CORPORATION,,explorer,"Vancouver, Canada","silver, gold",57.0,43.0,"Mineral exploration company focused on high-grade silver and gold resources at the Kitsault Valley Project in British Columbia, Canada.",2025-03-22 00:00:00+0000
107,DPM.TO,DUNDEE PRECIOUS METALS INC.,,producer,"Toronto, Canada","gold, copper",100.0,0.0,"Canadian-based international gold mining company with operations in Bulgaria and projects in Serbia and Ecuador, producing gold and copper.",2025-03-22 00:00:00+0000
108,EAM.V,EAST AFRICA METALS INC.,,explorer,"Vancouver, Canada","gold, copper, zinc",100.0,0.0,Canadian mineral exploration company focused on gold with projects in Ethiopia and Tanzania.,2025-03-22 00:00:00+0000
109,ECR.V,CARTIER RESOURCES,,explorer,"Val-d’Or, Quebec, Canada",gold,100.0,0.0,"Canadian mineral exploration company focused on the Abitibi gold belt in Quebec, with key projects including Chimo Mine and Benoist.",2025-03-22 00:00:00+0000
110,EDG.V,ENDURANCE GOLD,,explorer,"Vancouver, British Columbia, Canada",gold,100.0,0.0,"Canadian precious metals exploration company focused on the Reliance Gold Project in British Columbia, near Gold Bridge in the historic Bralorne-Pioneer gold camp.",2025-03-22 00:00:00+0000
111,DYG.V,DYNASTY GOLD CORP.,,explorer,"Vancouver, Canada",gold,100.0,0.0,Canadian mineral exploration company focused on gold with the Thundercloud project in Ontario and Golden Repeat in Nevada.,2025-03-22 00:00:00+0000
112,DLTA.V,DELTA RESOURCES LIMITED,,explorer,"Kingston, Canada",gold,100.0,0.0,Canadian mineral exploration company focused on gold projects in Ontario and Quebec.,2025-03-22 00:00:00+0000
113,DSV.V,DISCOVERY SILVER CORP.,,developer,"Toronto, Canada","silver, gold, lead, zinc",16.8,83.2,"Canadian mineral exploration company focused on silver with its flagship Cordero project in Mexico, advancing towards production.",2025-03-22 00:00:00+0000
114,ELE.V,ELEMENTAL ALTUS ROYALTIES,,producer,"Vancouver, British Columbia, Canada",gold,95.0,5.0,"Canadian mid-tier royalty company generating revenue from gold and copper royalties on producing mines across four continents, including Karlawinda, Caserones, and Bonikro, with growth from development assets like Diba.",2025-03-22 00:00:00+0000
115,ELEF.TO,SILVER ELEPHANT MINING CORP,,producer,"Vancouver, Canada","silver, gold",0.0,100.0,"Silver mining company with production from the Pulacayo-Paca project in Bolivia, which has indicated resources of 106.7 million oz silver, 1,384.7 million lbs zinc, and 693.9 million lbs lead. Also holds the El Triunfo gold-silver-zinc-lead exploration project in Bolivia.",2025-03-23 00:00:00+0000
116,EDR.TO,ENDEAVOUR SILVER,,producer,"Vancouver, British Columbia, Canada","silver, gold",40.0,60.0,"Mid-tier precious metals producer with two operating silver-gold mines in Mexico (Guanaceví, Bolañitos) and the Terronera Project nearing production.",2025-03-22 00:00:00+0000
117,ELVT.V,ELEVATION GOLD MINING CORPORATION,,producer,"Vancouver, Canada","gold, silver",90.0,10.0,"Gold and silver producer operating the Moss Mine in Arizona, USA, until its sale in December 2024. Also holds exploration properties in Nevada, USA, including the Hercules Project.",2025-03-23 00:00:00+0000
118,EMNT.V,EMINENT GOLD,,explorer,"Burnaby, Canada",gold,100.0,0.0,"Gold exploration company targeting world-class deposits in Nevada, USA, with key projects including Hot Springs Range and Gilbert South.",2025-03-23 00:00:00+0000
119,EMO.V,EMERITA RESOURCES CORP,,explorer,"Toronto, Canada","zinc, lead, copper, silver, gold",61.4,38.6,"Exploration company focused on zinc, lead, copper, silver, and gold in Spain’s Iberian Pyrite Belt, with significant resources at the Iberian Belt West project and awaiting a decision on the Aznalcóllar mine.",2025-03-23 00:00:00+0000
120,ELO.TO,ELORO RESOURCES LTD,,explorer,"Toronto, Canada","silver, tin",0.0,100.0,"Exploration company focused on the Iska Iska silver-tin polymetallic project in Bolivia with a maiden inferred resource estimate of 348 million oz silver equivalent, including zinc, lead, and tin.",2025-03-23 00:00:00+0000
121,EMX.V,EMX Royalty Corporation,,explorer,"Vancouver, Canada","gold, silver, copper",50.0,0.0,"A precious, base and battery metals royalty company with a global portfolio of over 250 projects, focusing on gold, copper, and polymetallic assets.",2025-03-23 04:42:00+0000
122,ENDR.V,Enduro Metals Corporation,,explorer,"Kelowna, Canada","gold, silver, copper",80.0,10.0,"Enduro Metals holds one of the largest junior land positions in the heart of British Columbia’s Golden Triangle, a world-class mineral district hosting multiple successful mines. Enduro’s 688km² Newmont Lake Property contains at least four large, distinct mineralized systems with district-scale potential—all starting from surface.",2025-03-23 04:55:00+0000
123,EPL.V,Eagle Plains Resources Ltd.,,explorer,"Cranbrook, Canada","gold, silver, uranium",60.0,10.0,"A mineral exploration company focused on acquiring and exploring mineral properties in Western Canada, with a portfolio that includes gold, silver, base metals, and uranium projects.",2025-03-23 12:02:00+0000
124,EQTY.V,Equity Metals Corporation,,explorer,"Vancouver, Canada","gold, silver",40.0,60.0,"Equity Metals Corporation is focused on creating shareholder value through the exploration and development of its flagship Silver Queen Gold-Silver Property in British Columbia, Canada, along with other mineral projects in Canada.",2025-03-23 12:09:00+0000
125,EQX.TO,Equinox Gold Corp.,,producer,"Vancouver, Canada","gold, silver",95.0,5.0,"Equinox Gold is a growth-focused gold producer with several operating mines in the Americas, including the USA, Mexico, and Brazil, and is commissioning a new mine in Canada.",2025-03-23 12:09:00+0000
126,ER.CN,Eastmain Resources,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Eastmain Resources Inc. was a Canadian exploration company focused on gold projects in the James Bay area of Quebec, including the Eau Claire Gold Project.",2025-03-23 12:09:00+0000
127,ERD.TO,Erdene Resource Development,,developer,"Dartmouth, Canada","gold, silver, copper, molybdenum",95.0,5.0,"Erdene Resource Development Corp. is a Canadian company focused on developing the high-grade Bayan Khundii gold project in Mongolia, with additional exploration for gold, copper, and molybdenum in the Khundii Minerals District.",2025-03-23 12:09:00+0000
128,ESK.V,Eskay Mining Corp.,,explorer,"Toronto, Canada","gold, silver, nickel, copper",70.0,30.0,"Eskay Mining Corp. is a Canadian exploration company targeting high-grade gold, silver, and base metal deposits in British Columbia’s Golden Triangle, with a portfolio of volcanogenic massive sulfide (VMS) and magmatic sulfide targets.",2025-03-23 12:34:00+0000
129,ELD.TO,ELDORADO GOLD,Eldorado Gold Corporation,producer,"Vancouver, Canada",gold,96.3,3.7,"Canadian mid-tier gold producer with operating mines in Turkey (Kisladag, Efemcukuru), Canada (Lamaque), and Greece (Olympias), plus the Skouries copper-gold project under development.",2025-03-22 00:00:00+0000
130,ETR.CN,ETRUSCUS RESOURCES,,explorer,"Vancouver, Canada","gold, silver",41.3,58.7,"Exploration company focused on gold and silver in Canada's Golden Triangle and Newfoundland, with key projects including Rock & Roll in BC and Lewis in Newfoundland.",2025-03-23 05:44:00+0000
131,EXN.TO,EXCELLON RESOURCES,,developer,"Toronto, Canada","gold, silver",97.0,3.0,"Canadian mining company focused on developing the Mallay Silver Mine in Peru and exploring the Kilgore Gold Project in Idaho, with additional exploration in Germany and Mexico.",2025-03-23 05:50:00+0000
132,ESM.TO,Euro Sun Mining Inc.,Euro Sun Mining Inc.,developer,"Toronto, Canada","gold, copper",70.0,0.0,"Euro Sun Mining Inc. is a Canadian development-stage mining company focused on the Rovina Valley gold and copper project in Romania, aiming to supply critical metals to Europe.",2025-03-23 12:42:00+0000
133,FDR.V,FOUNDERS METALS,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Exploration company focused on the Antino Gold Project in Suriname, with historical production of over half a million ounces of gold.",2025-03-23 06:11:00+0000
134,FF.TO,FIRST MINING GOLD,,developer,"Vancouver, Canada","gold, silver",95.0,5.0,"Gold development company advancing the Springpole Gold Project in Ontario, Canada, one of the largest undeveloped gold projects in the country.",2025-03-23 04:51:00+0000
135,EMPR.V,EMPRESS ROYALTY,,developer,"Vancouver, Canada","gold, silver",60.0,40.0,"Royalty and streaming company focused on gold and silver investments with a portfolio including Sierra Antapite (gold), Tahuehueto (silver), Manica (gold), Galaxy (gold), Pinos (gold, silver), and Canadian exploration royalties (gold).",2025-03-23 00:00:00+0000
136,FAS.V,FIRST ANDES SILVER,,explorer,"Vancouver, Canada","silver, gold",10.7,89.3,"Exploration company focused on the high-grade Santas Gloria Silver Property in Peru, with multiple high-grade silver and gold veins.",2025-03-23 06:00:00+0000
137,FISH.V,SAILFISH ROYALTY,,explorer,"Sea Meadow House, Road Town, British Virgin Islands",,,,"Sailfish Royalty Corp. engages in the acquisition of precious metals royalty and streaming agreements. The company engages in the exploration of gold and silver deposits. It also offers management services. Sailfish Royalty Corp. was incorporated in 2014 and is headquartered in Road Town, the British Virgin Islands.",2025-03-18 06:04:40+0000
138,FKM.V,FOKUS MINING,Fieldex Exploration Inc.,explorer,"Rouyn-Noranda, Canada",gold,100.0,0.0,"Gold exploration company with the flagship Galloway project located along the Cadillac-Larder Lake Fault in Quebec, Canada.",2025-03-24 06:27:00+0000
139,FMAN.V,FREEMAN GOLD,,developer,"Vancouver, Canada",gold,100.0,0.0,"Gold development company advancing the Lemhi Gold Property in Idaho, USA, towards production with a Preliminary Economic Assessment completed.",2025-03-24 07:26:00+0000
140,EDGM.CN,EDGEMONT GOLD,,explorer,"Vancouver, British Columbia, Canada",gold,100.0,0.0,Canadian mineral exploration company focused on the Dungate copper-gold porphyry project in British Columbia.,2025-03-22 00:00:00+0000
141,FMT.V,FUERTE METALS CORPORATION,,explorer,"Vancouver, Canada","gold, silver",66.0,34.0,"Exploration company with gold and silver projects in Chihuahua and Sonora, Mexico, and a copper-gold project in Atacama, Chile.",2025-03-24 01:27:00+0000
142,FNAU.CN,Four Nines Gold Inc.,,explorer,"Vancouver, Canada","gold, silver",97.3,2.7,"Gold-silver exploration company with the past-producing Hayden Hill mine in California, USA.",2025-03-24 04:05:00+0000
143,FNM.V,FIRST NORDIC METALS,,explorer,"Vancouver, Canada","gold, silver",90.0,10.0,Gold exploration company with flagship Barsele Gold Project in Sweden (45% JV with Agnico Eagle) and Oijärvi Gold Project in Finland.,2025-03-24 08:17:00+0000
144,FNV.TO,Franco-Nevada Corporation,Franco-Nevada Corporation,producer,"Toronto, Canada","gold, silver, platinum group metals, oil & gas",90.0,10.0,"Leading royalty and streaming company with a diversified portfolio of precious and base metal royalties, primarily focused on gold and silver.",2025-03-24 11:18:00+0000
145,FOR.V,FORTUNE BAY,,explorer,"Halifax, Canada",gold,100.0,0.0,"Exploration company focused on gold and uranium projects in Canada and Mexico, with key projects including Goldfields (gold), Ixhuatan (copper-gold), and Strike and Murmac (uranium).",2025-03-24 11:27:00+0000
146,FIN.V,GRIT METALS,"European Energy Metals Corp., Hilo Mining Ltd.",explorer,"Vancouver, Canada",gold,100.0,0.0,"Junior exploration company targeting gold in Finland’s Central Lapland Greenstone Belt and British Columbia, with additional focus on lithium projects in central Finland.",2025-03-24 05:10:00+0000
147,FMC.V,FORUM ENERGY METALS,,explorer,"Vancouver, Canada","uranium, copper, nickel, cobalt",0.0,0.0,"Uranium exploration company with key projects in Canada, including Aberdeen (Nunavut) and Northwest Athabasca (Saskatchewan).",2025-03-24 08:24:00+0000
148,FRG.CN,FORGE RESOURCES,,developer,"Richmond, Canada",gold,100.0,0.0,"Developer focused on the La Estrella Coal Project in Colombia and the Alotta Exploration Project in Canada, with a focus on coal production and gold exploration.",2025-03-24 11:38:00+0000
149,FURY.TO,FURY GOLD MINES,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Exploration company focused on high-grade gold projects in the James Bay Region of Quebec and the Kitikmeot Region in Nunavut, with key projects including Eau Claire and Committee Bay.",2025-03-24 11:46:00+0000
150,FVI.TO,FORTUNA MINING,Fortuna Silver Mines Inc.,producer,"Vancouver, Canada","gold, silver, lead, zinc",90.5,9.5,"Canadian mid-tier precious metals producer with operating mines in Argentina (Lindero), Burkina Faso (Yaramoko), Côte d'Ivoire (Séguéla), Mexico (San Jose), and Peru (Caylloma), focusing on gold and silver with lead and zinc by-products.",2025-03-24 11:46:00+0000
151,FFOX.V,FIREFOX GOLD,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company targeting high-grade gold in Finland’s Central Lapland Greenstone Belt, with flagship Mustajärvi Project showing significant intercepts and additional prospects like Jeesiö and Sarvi.",2025-03-24 05:00:00+0000
152,GAL.V,GALANTAS GOLD,,producer,"Toronto, Canada",gold,100.0,0.0,"Junior gold producer with an operational underground mine at Omagh in Northern Ireland, expanding production capacity at the Cavanacaw deposit.",2025-03-24 12:16:00+0000
153,FRED.V,FREDONIA MINING,,explorer,"Toronto, Canada","gold, silver",73.0,27.0,"Exploration company focused on gold and silver projects in Santa Cruz, Argentina, with a maiden mineral resource estimate of 2.248 million ounces of gold equivalent at the El Dorado Monserrat project.",2025-03-24 11:36:00+0000
154,GBRC.V,GOLD BULL RESOURCES,,developer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration and development company advancing the Sandman Project in Nevada, USA, with additional exploration at Big Balds.",2025-03-24 05:26:00+0000
155,FVL.TO,FREEGOLD VENTURES,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Exploration company focused on gold in Alaska, with the Golden Summit project, one of the largest undeveloped gold resources in North America, and the Shorty Creek copper-gold project.",2025-03-24 12:08:00+0000
156,FPC.V,FALCO RESOURCES,,developer,"Montreal, Canada","gold, silver",70.0,30.0,"Developer focused on the Horne 5 Project, a gold-rich polymetallic deposit in Rouyn-Noranda, Quebec, with significant gold, silver, copper, and zinc resources.",2025-03-24 11:29:00+0000
157,G.TO,AUGUSTA GOLD,,developer,"Vancouver, Canada","gold, silver",95.0,5.0,"Gold and silver development company advancing the Bullfrog Gold Project in Nevada, USA, with additional exploration at Reward.",2025-03-24 05:42:00+0000
158,GCC.CN,GOLDEN CARIBOO RESOURCES,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company targeting the Quesnelle Gold Quartz Mine property in British Columbia’s Cariboo Gold District, focusing on the Halo zone.",2025-03-24 06:19:00+0000
159,GHRT.V,GREENHEART GOLD,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company with projects in Guyana (Tamakay) and Suriname (Majorodam, Tosso Creek), targeting early-stage gold deposits.",2025-03-24 06:22:00+0000
160,GAU.TO,GALIANO GOLD,,producer,"Vancouver, Canada",gold,100.0,0.0,"Gold producer operating the Asanko Gold Mine in Ghana (90% ownership), with key deposits including Nkran, Esaase, and Abore.",2025-03-24 05:22:00+0000
161,GDX.V,GOLDEX RESOURCES,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company with projects in Mexico (Mingeo Property) and Guatemala (El Pato Project), targeting early-stage gold deposits.",2025-03-24 05:31:00+0000
162,GGD.TO,GOGOLD RESOURCES,GoGold Resources Inc.,producer,"Halifax, Canada","gold, silver",86.9,13.1,"Gold and silver producer at Parral Tailings Mine, Mexico (551,337 oz AgEq in 2024). Developing Los Ricos South and North projects with 2.859 Moz AuEq M&I resources.",2025-03-24 06:43:00+0000
163,GG.V,GOLCONDA GOLD,Galane Gold Ltd.,producer,"Toronto, Canada",gold,100.0,0.0,"Gold producer operating the Galaxy Mine in South Africa (7,712 oz in 2024) with Princeton Top mining commenced May 2024. Exploration tenements in New Mexico, USA. Secured $5M gold stream from Empress Royalty in Feb 2024.",2025-03-24 06:34:00+0000
164,GGM.V,GRANADA GOLD MINE,Granada Gold Mine Inc.,developer,"Rouyn-Noranda, Canada",gold,100.0,0.0,Gold developer with Granada Gold Property in Quebec along Cadillac Break. Permitted for 550 tpd Rolling Start; exploring deep high-grade zones.,2025-03-24 06:54:00+0000
165,GGO.V,GALLEON GOLD,Galleon Gold Corp.,developer,"Toronto, Canada",gold,100.0,0.0,"Gold developer advancing West Cache Project in Timmins, Ontario (873,000 oz Au reserves). Owns Neal Gold Project in Idaho, USA. Bulk sample permits in progress.",2025-03-24 07:00:00+0000
166,GLDC.V,CASSIAR GOLD,MARGAUX RESOURCES LTD,explorer,"Vancouver, Canada","gold, silver",95.0,5.0,"Junior gold exploration company advancing the Cassiar Gold Property in British Columbia, Canada, with key projects including the Taurus Deposit (Cassiar North) and high-grade Cassiar South vein systems.",2025-03-24 14:03:00+0000
167,GGL.V,GGL RESOURCES,GGL Resources Corp.,explorer,"Vancouver, Canada","gold, silver, copper",90.0,10.0,"Junior explorer with Gold Point Project in Nevada (44,000 oz AuEq indicated) and McConnell copper-gold project in BC. Le Champ porphyry target optioned to Teck in 2024.",2025-03-24 06:50:00+0000
168,GGA.V,GOLDGROUP MINING,Goldgroup Mining Inc.,producer,"Vancouver, Canada",gold,100.0,0.0,"Gold producer operating Cerro Prieto heap-leach mine in Sonora, Mexico (12,000-14,400 oz/year). Acquired Pinos Project (March 2025) and holds San José de Gracia exploration asset.",2025-03-24 06:38:00+0000
169,GFG.V,GFG RESOURCES,,developer,"Vancouver, Canada","gold, silver",98.0,2.0,"Gold and silver exploration and development company with projects in Timmins, Ontario (Pen and Dore), and Rattlesnake Hills, Wyoming, advancing toward production.",2025-03-24 05:36:00+0000
170,GMTN.TO,GOLD MOUNTAIN MINING,,developer,"Vancouver, Canada","gold, silver",70.0,30.0,"Junior developer advancing the Elk Gold Project in British Columbia, Canada, with 2.3 Moz AuEq indicated and 1.5 Moz inferred resources, targeting near-term gold and silver production.",2025-03-24 14:35:00+0000
171,GLM.CN,GOLDEN LAKE EXPLORATION,,explorer,"Vancouver, Canada","gold, silver, copper",85.0,15.0,"Junior exploration company advancing the Jewel Ridge property in Nevada’s Battle Mountain-Eureka trend, with significant gold-silver intercepts and proximity to producing mines.",2025-03-24 14:18:00+0000
172,GMIN.TO,G MINING VENTURES,G Mining Ventures Corp.,producer,"Brossard, Canada",gold,100.0,0.0,"Mid-tier gold producer with the Tocantinzinho mine in Brazil, and growth projects Oko West in Guyana and Gurupi in Brazil, focused on low-cost gold production.",2025-03-24 14:26:00+0000
173,GLDN.V,GOLDEN RIDGE RESOURCES,,developer,"Kelowna, Canada","gold, silver, copper, iron ore",50.0,15.0,"Junior developer with gold and base metal projects in British Columbia (Hank) and Newfoundland (Williams), and Hawkinsrecently expanded into iron ore mining and trading via an 80% acquisition of MM Group Ltda. in Brazil.",2025-03-24 14:14:00+0000
174,GOLD.TO,GOLDMINING,,developer,"Vancouver, Canada","gold, copper",80.0,0.0,"Exploration and development company with gold and gold-copper projects in Brazil, the US, Colombia, and Canada, including São Jorge, Whistler, and La Mina.",2025-03-24 18:12:00+0000
175,GOT.V,GOLIATH RESOURCES,,explorer,"Toronto, Canada","gold, silver",90.0,10.0,"Junior exploration company focused on gold and silver in British Columbia’s Golden Triangle, with the Golddigger property showing high-grade potential.",2025-03-24 18:15:00+0000
176,GPAC.V,GREAT PACIFIC GOLD,,explorer,"Vancouver, Canada","gold, copper",100.0,0.0,"Junior exploration company targeting gold and copper in Papua New Guinea and Australia, with key projects including Wild Dog and Kesar.",2025-03-24 18:16:00+0000
177,GPG.V,GRANDE PORTAGE RESOURCES,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Junior exploration company focused on gold in Alaska, with the Herbert Gold project in the Juneau Gold Belt.",2025-03-24 18:20:00+0000
178,GTWO.TO,G2 GOLDFIELDS,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Exploration company focused on the Oko gold project in Guyana, with significant high-grade resources.",2025-03-24 18:22:00+0000
179,GMX.TO,GLOBEX MINING,,explorer,"Toronto, Canada","gold, silver, copper, zinc, rare earths",40.0,20.0,"Junior explorer with over 200 properties in North America, generating royalties and option payments from gold, silver, and base metal assets, including Duquesne West and Bell Mountain.",2025-03-24 22:44:00+0000
180,GNG.V,GOLDEN GOLIATH RESOURCES,,explorer,"Vancouver, Canada","gold, rare earth elements",80.0,0.0,"Junior exploration company targeting gold in Ontario (Wish Ore, Kwai) and rare earth elements in Quebec (Manicouagan project).",2025-03-24 18:07:00+0000
181,GRC.TO,GOLD SPRINGS RESOURCE,TRI METALS MINING INC,explorer,"Vancouver, Canada","gold, silver",83.0,17.0,"Gold and silver exploration company with the Gold Springs project spanning Nevada and Utah, USA, targeting open-pit heap leach operations.",2025-03-25 01:39:00+0000
182,GRG.V,GOLDEN ARROW RESOURCES,,explorer,"Vancouver, Canada","gold, silver",53.0,47.0,"Gold and silver exploration company with projects in Argentina (San Marcial) and Chile (Cerro Morado, Navidad).",2025-03-25 01:47:00+0000
183,GRSL.V,GR SILVER MINING,GOLDPLAY EXPLORATION LTD,explorer,"Vancouver, Canada","silver, gold",20.0,80.0,"Silver and gold exploration company with the Plomosas Project in Sinaloa, Mexico, including the San Marcial and Plomosas Mine Areas.",2025-03-25 01:49:00+0000
184,GSHR.V,GOLDSHORE RESOURCES,SIERRA MADRE DEVELOPMENTS INC,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company with the Moss Gold Project in Northwestern Ontario, Canada, advancing resource expansion.",2025-03-25 01:47:00+0000
185,GMV.V,GMV MINERALS,,developer,"Vancouver, Canada","gold, lithium",100.0,0.0,"Junior developer advancing the Mexican Hat Gold Project in Arizona with a 688,000 oz Au inferred resource, and exploring the Daisy Creek Lithium Project in Nevada.",2025-03-24 22:41:00+0000
186,GSVR.V,GUANAJUATO SILVER COMPANY,VANGOLD MINING CORP,producer,"Vancouver, Canada","silver, gold, lead, zinc",35.0,65.0,"Precious metals producer reactivating silver and gold mines in central Mexico, including El Cubo, Valenciana, San Ignacio, and Topia, with by-products of lead and zinc.",2025-03-24 18:54:00+0000
187,GQ.V,GREAT QUEST GOLD,GREAT QUEST FERTILIZER LTD,explorer,"Vancouver, Canada","gold, phosphate",100.0,0.0,"Gold exploration company with projects in Mali (Sanoukou Gold) and Namibia (Damara Gold Project including Khorixas, Omatjete, and Outjo). Also exploring phosphate in Mali (Tilemsi Phosphate Project).",2025-03-25 01:29:00+0000
188,GUN.V,GUNPOINT EXPLORATION,,explorer,"Vancouver, Canada","gold, silver",87.0,13.0,"Gold and silver exploration company advancing the Talapoosa project in Nevada, USA, with district-scale potential at the Appaloosa trend.",2025-03-24 19:00:00+0000
189,GSTM.V,GOLDSTORM METALS,,explorer,"Vancouver, Canada","gold, silver",80.0,20.0,"Precious metals exploration company targeting high-grade gold and silver deposits in the Crown and Electrum projects, located in the Golden Triangle, British Columbia.",2025-03-24 18:53:00+0000
190,GWM.V,GALWAY METALS,,explorer,"Toronto, Canada",gold,100.0,0.0,"Gold exploration company advancing the Clarence Stream and Estrades projects in Canada, with significant resources in New Brunswick and Quebec.",2025-03-24 19:10:00+0000
191,GTCH.CN,GETCHELL GOLD,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company focused on the Fondaway Canyon and Dixie Comstock projects in Nevada, USA, targeting high-grade gold deposits.",2025-03-24 18:59:00+0000
192,GQC.V,GOLDQUEST MINING,,developer,"Vancouver, Canada","gold, copper",100.0,0.0,Gold and copper exploration and development company with the Romero Project and Tireo Property in the Dominican Republic.,2025-03-25 01:32:00+0000
193,GUS.V,ANGUS GOLD,ANGUS VENTURES INC,explorer,"Toronto, Canada",gold,100.0,0.0,"Gold exploration company advancing the Golden Sky project in Wawa, Ontario, Canada, with a historic resource and additional potential at Slate Bay in Red Lake.",2025-03-24 19:05:00+0000
194,HSLV.CN,HIGHLANDER SILVER,,explorer,"Toronto, Canada",silver,40.0,60.0,"Silver exploration company with projects in Peru, including the San Luis gold-silver project and the La Estrella property.",2025-03-25 02:24:00+0000
195,HSTR.V,HELIOSTAR METALS,,producer,"Vancouver, Canada",gold,95.0,5.0,"Gold producer with operating mines in Mexico (La Colorada, San Agustin, El Castillo) and development projects in Mexico (Ana Paula) and Alaska.",2025-03-25 02:30:00+0000
196,HUNT.CN,GOLD HUNTER RESOURCES,,explorer,"Langley, Canada",gold,100.0,0.0,"Gold exploration company with the Great Northern Project in Newfoundland and Labrador, Canada, including the Thor Deposit.",2025-03-25 02:35:00+0000
197,HWY.V,HIGHWAY 50 GOLD,,explorer,"Vancouver, Canada",gold,90.0,10.0,"Gold exploration company with projects in Nevada, USA, including the Gold Knob, Golden Brew, and Quito North projects.",2025-03-25 02:40:00+0000
198,IAU,I-80 GOLD,i-80 Gold Corp.,producer,"Reno, Nevada, USA",gold,100.0,0.0,"Gold producer and developer with key Nevada projects: Granite Creek, McCoy-Cove, and Ruby Hill, targeting mid-tier production.",2025-03-24 19:44:00+0000
199,IGO.V,INDEPENDENCE GOLD,Independence Gold Corp.,explorer,"Vancouver, British Columbia, Canada","gold, silver",90.0,10.0,"Gold and silver exploration company with projects in British Columbia and Yukon, primarily focused on the 3Ts Project in BC.",2025-03-24 19:49:00+0000
200,HML.CN,HERITAGE MINING,,explorer,"Vancouver, Canada",gold,90.0,10.0,"Gold exploration company with projects in northwestern Ontario, Canada, including the Drayton-Black Lake and Contact Bay projects.",2025-03-25 02:20:00+0000
201,GXX.V,GOLD BASIN RESOURCES,FIORENTINA MINERALS INC,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company advancing the Gold Basin Project in Nevada, USA, with an inferred resource and significant district-scale potential.",2025-03-24 19:15:00+0000
202,IVS.V,INVENTUS MINING,,explorer,"Toronto, Canada","gold, platinum, palladium, copper, nickel, cobalt",100.0,0.0,"Exploration company focused on gold at the Pardo Project and critical minerals at Sudbury 2.0, both in Ontario, Canada.",2025-03-24 20:00:00+0000
203,JAG.TO,JAGUAR MINING,,producer,"Toronto, Canada",gold,100.0,0.0,"Mid-sized gold producer operating in Brazil’s Iron Quadrangle, with key assets including Turmalina, Caeté, and Paciência mining complexes.",2025-03-24 20:00:00+0000
204,IMG.TO,IAMGOLD,IAMGOLD Corporation,producer,"Toronto, Canada",gold,100.0,0.0,"Mid-tier gold producer with operations in Canada (Côté Gold, Westwood) and West Africa (Essakane), focused on expanding production capacity.",2025-03-24 19:52:00+0000
205,JUB.H,JUBILEE GOLD,,explorer,"Toronto, Canada","gold, nickel, copper, cobalt",100.0,0.0,"Early-stage explorer focused on gold and battery metals, with the Lac Surprise gold project in Quebec’s Abitibi region.",2025-03-24 20:00:00+0000
206,JUGR.V,JUGGERNAUT EXPLORATION LTD,,explorer,"Vancouver, Canada","gold, silver",80.0,20.0,"Junior exploration company targeting gold and silver in British Columbia’s Golden Triangle, with key projects Midas and Empire.",2025-03-24 00:00:00+0000
207,JG.V,JAPAN GOLD,,explorer,"Vancouver, Canada",gold,100.0,0.0,"Early-stage gold exploration company with 35 projects across Japan, including Togi and Ikutahara, in partnership with Barrick Gold.",2025-03-24 20:00:00+0000
208,K.TO,KINROSS GOLD CORPORATION,Kinross Gold Corporation,producer,"Toronto, Canada","gold, silver",95.0,5.0,"Senior gold producer with operating mines in the US (Fort Knox), Brazil (Paracatu), Chile (La Coipa), and Mauritania (Tasiast), and a major development project (Great Bear) in Canada.",2025-03-24 00:00:00+0000
